code,name
000636,风华高科
000657,中钨高新
000725,京东方Ａ
000969,安泰科技
000988,华工科技
001257,001257
001309,德明利
002080,中材科技
002138,顺络电子
002156,通富微电
002185,华天科技
002281,光迅科技
002371,北方华创
002378,章源钨业
002409,雅克科技
002463,沪电股份
002484,江海股份
002491,通鼎互联
002636,金安国纪
002782,可立克
002837,英维克
002842,翔鹭钨业
002916,深南电路
002938,鹏鼎控股
002971,和远气体
300285,国瓷材料
300308,中际旭创
300319,麦捷科技
300346,南大光电
300394,天孚通信
300408,三环集团
300476,胜宏科技
300499,高澜股份
300502,新易盛
300602,飞荣达
300604,长川科技
300620,光库科技
300666,江丰电子
301018,申菱环境
301217,铜冠铜箔
301308,江波龙
301511,德福科技
301526,国际复材
600105,永鼎股份
600110,诺德股份
600160,巨化股份
600176,中国巨石
600183,生益科技
600206,有研新材
600237,铜峰电子
600378,昊华科技
600460,士兰微
600487,亨通光电
600498,烽火通信
600522,中天科技
600549,厦门钨业
600552,凯盛科技
600563,法拉电子
600584,长电科技
600703,三安光电
600707,彩虹股份
600869,远东股份
601208,东材科技
601869,长飞光纤
601958,金钼股份
603002,宏昌电子
603083,剑桥科技
603186,华正新材
603256,宏和科技
603379,三美股份
603618,杭电股份
603650,彤程新材
603678,火炬电子
603773,沃格光电
603986,兆易创新
603989,艾华集团
605358,立昂微
605589,圣泉集团
688012,中微公司
688048,长光华芯
688082,盛美上海
688126,沪硅产业
688146,中船特气
688313,仕佳光子
688498,源杰科技
688519,南亚新材
688525,佰维存储
688549,中巨芯-U
