code,name
000016,深康佳Ａ
000021,深科技
000034,神州数码
000062,深圳华强
000609,ST中迪
000620,盈新发展
000630,铜陵有色
000657,中钨高新
000670,盈方微
000727,冠捷科技
000737,北方铜业
000801,四川九洲
000818,航锦科技
000823,超声电子
000988,华工科技
001223,欧克科技
001266,宏英智能
001287,中电港
001298,好上好
001309,德明利
001314,亿道信息
001359,平安电工
001388,信通电子
001389,广合科技
002008,大族激光
002045,国光电器
002049,紫光国微
002055,ST得润
002077,大港股份
002080,中材科技
002119,康强电子
002134,天津普林
002138,顺络电子
002156,通富微电
002171,楚江新材
002183,怡 亚 通
002185,华天科技
002213,大为股份
002217,合力泰
002236,大华股份
002371,北方华创
002376,新北洋
002384,东山精密
002407,多氟多
002409,雅克科技
002413,雷科防务
002415,海康威视
002429,兆驰股份
002430,杭氧股份
002436,兴森科技
002463,沪电股份
002510,天汽模
002544,普天科技
002552,宝鼎科技
002559,亚威股份
002579,中京电子
002584,西陇科学
002598,山东章鼓
002636,金安国纪
002654,万润科技
002669,康达新材
002708,光洋股份
002741,光华科技
002745,木林森
002815,崇达技术
002819,东方中科
002848,*ST高斯
002866,传艺科技
002886,沃特股份
002913,奥士康
002916,深南电路
002927,泰永长征
002935,天奥电子
002938,鹏鼎控股
002975,博杰股份
002990,盛视科技
300012,华测检测
300035,中科电气
300041,回天新材
300042,朗科科技
300053,航宇微
300054,鼎龙股份
300082,奥克股份
300131,英唐智控
300179,四方达
300184,力源信息
300196,长海股份
300221,银禧科技
300227,光韵达
300243,瑞丰高材
300252,金信诺
300283,温州宏丰
300302,同有科技
300319,麦捷科技
300395,菲利华
300400,劲拓股份
300410,正业科技
300416,苏试试验
300429,强力新材
300446,航天智造
300450,先导智能
300476,胜宏科技
300503,昊志机电
300537,广信材料
300538,同益股份
300576,容大感光
300580,贝斯特
300586,美联新材
300632,光莆股份
300637,扬帆新材
300657,弘信电子
300671,富满微
300679,电连技术
300687,赛意信息
300713,英可瑞
300724,捷佳伟创
300739,明阳电路
300747,锐科激光
300776,帝尔激光
300801,泰和科技
300802,矩子科技
300806,斯迪克
300814,中富电路
300819,聚杰微纤
300836,佰奥智能
300842,帝科股份
300852,四会富仕
300903,科翔股份
300936,中英科技
300964,本川智能
301013,利和兴
301021,英诺激光
301028,鼎熔岩
301029,怡合达
301041,金百泽
301106,骏成科技
301123,奕东电子
301128,强瑞技术
301132,满坤科技
301135,瑞德智能
301150,中一科技
301176,逸豪新材
301200,大族数控
301251,威尔高
301282,金禄电子
301320,豪江智能
301338,凯格精机
301362,民爆光电
301377,鼎泰高科
301379,天山电子
301421,波长光电
301499,维科精密
301511,德福科技
301512,智信精密
301526,国际复材
301555,惠柏新材
301563,云汉芯城
301568,思泰克
301603,乔锋智能
301618,长联科技
301628,强达电路
600110,诺德股份
600176,中国巨石
600183,生益科技
600330,天通股份
600378,昊华科技
600522,中天科技
600601,方正科技
600990,四创电子
601208,东材科技
603002,宏昌电子
603110,东方材料
603118,共进股份
603150,万朗磁塑
603175,超颖电子
603186,华正新材
603203,快克智能
603219,富佳股份
603228,景旺电子
603256,宏和科技
603271,永杰新材
603283,赛腾股份
603297,永新光学
603328,依顿电子
603341,龙旗科技
603386,骏亚科技
603459,603459
603685,晨丰科技
603800,洪田股份
603806,福斯特
603920,世运电路
603936,博敏电子
605006,山东玻纤
605058,澳弘电子
605258,协和电子
605589,圣泉集团
688003,天准科技
688020,方邦股份
688022,瀚川智能
688025,杰普特
688035,德邦科技
688059,华锐精密
688093,世华科技
688150,莱特光电
688157,松井股份
688170,德龙激光
688183,生益电子
688199,久日新材
688257,新锐股份
688299,长阳科技
688300,联瑞新材
688301,奕瑞科技
688308,欧科亿
688312,燕麦科技
688323,瑞华泰
688359,三孚新科
688388,嘉元科技
688401,路维光电
688456,有研粉材
688478,晶升股份
688519,南亚新材
688531,日联科技
688535,华海诚科
688559,海目星
688571,杭华股份
688603,天承科技
688610,埃科光电
688625,呈和科技
688630,芯碁微装
688655,迅捷兴
688700,东威科技
688720,艾森股份
688729,屹唐股份
688733,壹石通
688813,688813
920060,万源通
920125,920125
920130,立方控股
920178,920178
920223,荣亿精密
920346,威贸电子
920357,雅葆轩
920526,凯华材料
920665,科强股份
920821,则成电子
920971,天马新材
